SaleID,Salesman,PolicyType,CustomerAge,Premium,Status,Month
41,Frank,Life Insurance,63,947,Approved,March
42,Charlie,Auto Insurance,51,3822,Pending,March
43,Bob,Auto Insurance,66,,,March
44,Charlie,Life Insurance,21,3014,Approved,March
45,Alice,Health Insurance,51,,Approved,March
46,Charlie,Auto Insurance,73,1436,Approved,March
47,Frank,Health Insurance,19,508,Declined,March
48,Frank,Auto Insurance,69,,Pending,March
49,Diana,Auto Insurance,73,1451,Pending,March
50,Charlie,Health Insurance,54,2000,Declined,March
51,Frank,Home Insurance,38,1221,Declined,March
52,Alice,Home Insurance,33,1466,Declined,March
53,Alice,,65,1173,,March
54,Eve,Life Insurance,45,,Declined,March
55,Charlie,Life Insurance,48,1200,Declined,March
56,Diana,Auto Insurance,42,3927,,March
57,Charlie,Life Insurance,53,525,Approved,March
58,Alice,Auto Insurance,54,,Approved,March
59,Alice,Health Insurance,59,4284,,March
60,Charlie,Health Insurance,43,2000,Pending,March
61,Alice,Health Insurance,54,2000,,March
62,Eve,Health Insurance,25,2000,Approved,March
63,Alice,Life Insurance,60,4039,Pending,March
64,Bob,,58,1410,Pending,March
65,Bob,Life Insurance,40,839,Approved,March
66,Charlie,Home Insurance,43,2000,Declined,March
67,Alice,,38,3331,Declined,March
68,Diana,Home Insurance,40,2108,Declined,March
69,Alice,Health Insurance,68,,,March
70,Eve,Life Insurance,42,2000,Declined,March
71,Charlie,Home Insurance,60,,Approved,March
72,Alice,Life Insurance,29,1088,Pending,March
73,Diana,Auto Insurance,74,2000,,March
74,Eve,,18,2000,Pending,March
75,Bob,,44,2000,Declined,March
76,Diana,Health Insurance,55,,Approved,March
77,Charlie,Health Insurance,39,2000,Approved,March
78,Bob,,59,818,Approved,March
79,Charlie,Health Insurance,55,,Pending,March
80,Charlie,Auto Insurance,18,2000,Approved,March
81,Frank,Health Insurance,35,3611,Pending,March
82,Charlie,Health Insurance,70,2000,Declined,March
83,Alice,Auto Insurance,24,4448,Declined,March
84,Bob,Auto Insurance,62,2000,Declined,March
85,Frank,Auto Insurance,48,,,March
86,Diana,Health Insurance,18,2000,Approved,March
87,Bob,,28,,Pending,March
88,Charlie,Home Insurance,35,,,March
89,Eve,Health Insurance,73,658,Declined,March
90,Alice,Home Insurance,20,500,Approved,March
91,Alice,Health Insurance,31,1934,Approved,March
92,Charlie,Auto Insurance,72,1696,Declined,March
93,Bob,,53,4933,Declined,March
94,Charlie,,29,2000,Declined,March
95,Diana,Health Insurance,25,,,March
96,Diana,Life Insurance,20,2000,Pending,March
97,Charlie,,56,2000,,March
98,Eve,Home Insurance,57,,Pending,March
99,Bob,Auto Insurance,43,2000,Approved,March
100,Eve,Health Insurance,49,1092,Declined,March
101,Diana,,38,2556,,March
102,Frank,Auto Insurance,22,3397,Pending,March
103,Alice,,25,2039,Approved,March
104,Bob,Health Insurance,69,,Approved,March
105,Diana,Auto Insurance,64,1194,Pending,March
106,Bob,,58,2000,Approved,March
107,Alice,,33,1309,Declined,March
108,Bob,Auto Insurance,54,3387,,March
109,Bob,Life Insurance,31,2000,Declined,March
110,Charlie,Auto Insurance,44,2000,,March
111,Charlie,,41,2000,Approved,March
112,Charlie,Auto Insurance,70,,Pending,March
113,Alice,,29,3858,Pending,March
114,Eve,Life Insurance,67,1495,Pending,March
115,Diana,Auto Insurance,21,1727,Approved,March
116,Alice,Health Insurance,18,3697,Declined,March
117,Alice,Life Insurance,54,1370,Declined,March
118,Bob,,56,2000,Approved,March
119,Bob,Home Insurance,57,2000,Approved,March
120,Eve,Health Insurance,50,2475,Declined,March
121,Alice,Health Insurance,38,2000,Approved,March
122,Frank,Home Insurance,20,,Declined,March
123,Frank,Health Insurance,62,1500,,March
124,Eve,Life Insurance,53,,,March
125,Eve,Home Insurance,37,1431,Pending,March
126,Frank,Home Insurance,60,2888,,March
127,Diana,Health Insurance,68,2000,Declined,March
128,Eve,Auto Insurance,36,2327,,March
129,Alice,Home Insurance,58,2000,Declined,March
130,Bob,,38,2931,Pending,March
131,Diana,Health Insurance,73,973,Pending,March
132,Bob,,58,538,Pending,March
133,Eve,,49,3196,Approved,March
134,Diana,,48,2000,Pending,March
135,Alice,,51,2000,,March
136,Eve,Health Insurance,56,,Pending,March
137,Alice,,32,1341,Declined,March
138,Alice,Home Insurance,32,1779,,March
139,Frank,Auto Insurance,18,2981,,March
140,Frank,Life Insurance,72,1327,Approved,March
141,Diana,,57,2000,Pending,March
142,Eve,Life Insurance,51,1888,Declined,March
143,Charlie,Health Insurance,64,1508,Approved,March
144,Diana,,43,,Declined,March
145,Alice,,36,2000,Declined,March
146,Alice,Life Insurance,42,1783,,March
147,Bob,Health Insurance,18,2075,Declined,March
148,Charlie,Auto Insurance,24,2000,Pending,March
149,Diana,Home Insurance,66,4388,Approved,March
150,Eve,Auto Insurance,46,1871,Pending,March
151,Diana,Auto Insurance,69,,Declined,March
152,Charlie,Life Insurance,42,588,Approved,March
153,Charlie,Life Insurance,59,2000,Declined,March
154,Diana,Health Insurance,27,1208,Approved,March
155,Diana,Auto Insurance,24,,Declined,March
156,Diana,,33,1747,,March
157,Charlie,,70,1653,Declined,March
158,Alice,Auto Insurance,56,1160,Pending,March
159,Diana,Auto Insurance,45,2000,Pending,March
160,Bob,Life Insurance,53,4937,,March
161,Alice,,26,2000,Approved,March
162,Eve,,53,2691,Pending,March
163,Alice,Health Insurance,27,715,Pending,March
164,Eve,,34,2000,Pending,March
165,Frank,Life Insurance,68,2020,Pending,March
166,Eve,Life Insurance,26,1032,Approved,March
167,Bob,Auto Insurance,48,,,March
168,Alice,Home Insurance,71,,Approved,March
169,Alice,Life Insurance,36,2029,Approved,March
170,Diana,Auto Insurance,57,2000,,March
171,Frank,Life Insurance,59,,Approved,March
172,Alice,Health Insurance,67,1337,Pending,March
173,Charlie,,37,1880,Declined,March
174,Diana,,72,1777,Approved,March
175,Bob,Home Insurance,42,3244,,March
176,Alice,,66,2000,Pending,March
177,Diana,,32,2000,Approved,March
178,Diana,Home Insurance,33,2000,Approved,March
179,Eve,Home Insurance,61,1424,Approved,March
180,Charlie,,73,,Pending,March
181,Diana,Auto Insurance,71,2318,Pending,March
182,Diana,Life Insurance,56,,Approved,March
183,Bob,Health Insurance,35,697,Declined,March
184,Diana,Health Insurance,40,2000,Pending,March
185,Charlie,Life Insurance,61,3964,,March
186,Alice,Life Insurance,57,4374,Approved,March
187,Frank,,25,1207,Pending,March
188,Charlie,Auto Insurance,64,2000,Pending,March
189,Frank,Auto Insurance,29,2484,Declined,March
190,Alice,Home Insurance,70,,Approved,March
191,Diana,Home Insurance,61,3837,,March
192,Alice,Life Insurance,47,1186,Declined,March
193,Eve,,22,,Approved,March
194,Charlie,Home Insurance,59,2000,Declined,March
195,Bob,Health Insurance,31,2000,Pending,March
196,Charlie,Health Insurance,68,1373,,March
197,Frank,Life Insurance,54,4619,,March
198,Diana,Health Insurance,38,1326,Approved,March
199,Diana,Auto Insurance,46,526,Approved,March
200,Frank,,27,2000,Declined,March
201,Diana,,53,1833,Declined,March
202,Charlie,Auto Insurance,48,,Declined,March
203,Bob,Health Insurance,20,2000,Declined,March
204,Eve,Health Insurance,58,1305,Approved,March
205,Frank,Auto Insurance,67,,Pending,March
206,Charlie,Home Insurance,54,2316,Pending,March
207,Charlie,,59,,Approved,March
208,Alice,Life Insurance,61,2126,Declined,March
209,Frank,,53,,Pending,March
210,Charlie,Home Insurance,35,2000,Pending,March
211,Charlie,Home Insurance,71,,Declined,March
212,Bob,Life Insurance,38,,Declined,March
213,Eve,,33,2000,Declined,March
214,Alice,Health Insurance,25,2000,Pending,March
215,Diana,,33,,Declined,March
216,Charlie,Life Insurance,27,622,Pending,March
217,Eve,Life Insurance,21,,,March
218,Charlie,,21,3036,Pending,March
219,Charlie,,59,2000,Pending,March
220,Charlie,Life Insurance,39,2350,Pending,March
221,Eve,Life Insurance,72,2000,Declined,March
222,Charlie,Health Insurance,55,,Pending,March
223,Bob,,40,1135,Approved,March
224,Frank,Home Insurance,59,2000,Declined,March
225,Diana,Health Insurance,35,2000,,March
226,Diana,Life Insurance,23,534,,March
227,Bob,Life Insurance,51,,,March
228,Alice,Home Insurance,19,,Approved,March
229,Diana,Home Insurance,29,3860,Pending,March
230,Frank,Auto Insurance,59,698,Approved,March
231,Diana,Health Insurance,22,,Pending,March
232,Diana,Life Insurance,70,,Pending,March
233,Charlie,,63,2000,Approved,March
234,Bob,,52,725,Declined,March
235,Alice,Health Insurance,63,2000,Pending,March
236,Diana,,74,2000,Pending,March
237,Alice,,37,2000,Pending,March
238,Charlie,,35,818,Approved,March
239,Diana,,64,2000,Declined,March
240,Alice,Health Insurance,64,3514,Approved,March
241,Bob,Life Insurance,64,2000,,March
242,Charlie,Auto Insurance,73,,Declined,March
243,Diana,Home Insurance,41,4014,Approved,March
244,Bob,,58,2000,Declined,March
245,Bob,Auto Insurance,39,,Pending,March
246,Eve,Home Insurance,24,3832,Pending,March
247,Charlie,Health Insurance,23,2000,Pending,March
248,Alice,Health Insurance,72,4416,Approved,March
249,Charlie,Life Insurance,36,3308,Approved,March
250,Eve,Life Insurance,53,510,Approved,March
251,Alice,Home Insurance,23,,Declined,March
252,Diana,,57,1771,Pending,March
253,Eve,,69,1977,Approved,March
254,Frank,,24,,Approved,March
255,Frank,Auto Insurance,32,2000,Declined,March
256,Alice,Life Insurance,56,608,Approved,March
257,Diana,Home Insurance,49,776,Approved,March
258,Diana,Life Insurance,18,1667,,March
259,Bob,,32,1754,,March
260,Alice,Health Insurance,70,1573,Pending,March
261,Charlie,Home Insurance,25,898,,March
262,Bob,Health Insurance,46,,Approved,March
263,Frank,Life Insurance,40,,Approved,March
264,Alice,Life Insurance,64,515,Declined,March
265,Charlie,,71,1814,Pending,March
266,Eve,,42,,Approved,March
267,Charlie,,67,1639,Approved,March
268,Frank,Home Insurance,31,2000,Approved,March
269,Bob,,39,3339,Declined,March
270,Eve,Health Insurance,56,2031,Declined,March
271,Bob,Home Insurance,71,1852,Declined,March
272,Diana,Home Insurance,74,2568,,March
273,Bob,Life Insurance,72,1834,Declined,March
274,Diana,Health Insurance,23,3503,Approved,March
275,Alice,Auto Insurance,74,2000,Approved,March
276,Diana,Health Insurance,58,2000,Approved,March
277,Eve,,54,,Pending,March
278,Charlie,Health Insurance,20,980,Pending,March
279,Bob,Auto Insurance,21,,Pending,March
280,Frank,,39,,Approved,March
281,Frank,Health Insurance,32,2000,Pending,March
282,Eve,Home Insurance,54,4523,Approved,March
283,Bob,,36,,Pending,March
284,Eve,Life Insurance,62,,Declined,March
285,Diana,Home Insurance,58,2000,Pending,March
286,Charlie,Life Insurance,63,2000,Pending,March
287,Alice,Health Insurance,19,2000,Approved,March
288,Bob,Home Insurance,19,,,March
289,Eve,Life Insurance,74,3955,Pending,March
290,Charlie,,27,1892,Pending,March
291,Alice,,19,4005,,March
292,Alice,,64,2000,Declined,March
293,Eve,Home Insurance,59,2000,,March
294,Frank,Home Insurance,25,2000,Declined,March
295,Frank,,64,,Declined,March
296,Eve,Life Insurance,27,1428,Approved,March
297,Diana,Health Insurance,29,2000,Pending,March
298,Eve,Health Insurance,49,,Approved,March
299,Eve,Life Insurance,30,2000,Approved,March
300,Eve,,37,3246,Approved,March
